Restaurant Name,Address,Category,Rating,Number of Reviews,Price($),Price(1-5),Latitude,Longitude
Gusto 501,501 King Street E,Italian,4.0,55,,0,43.65464,-79.3595
Library Bar,100 Front Street W,Lounges,4.0,121,$$$,3,43.6461717,-79.3811365
Soya Mandarin Kitchen,31 Baldwin Street,Chinese,4.5,31,,0,43.65588,-79.39329
Joso's,202 Davenport Road,Seafood,4.5,165,$$$,3,43.6751099,-79.39607
Ohiru Cafe,370 College Street,Breakfast & Brunch,5.0,7,,0,43.657258,-79.404682
1 Kitchen,550 Wellington Street W,Cocktail Bars,4.5,33,,0,43.64313343486211,-79.40199552534189
Pearl Diver,100 Adelaide Street E,Seafood,4.0,619,$$,2,43.65163,-79.37375
Manpuku Japanese Eatery,105 McCaul Street,Japanese,4.0,512,$,1,43.65406,-79.39101
New Orleans Seafood & Steakhouse,267 Scarlett Road,Seafood,4.5,162,$$$,3,43.67775,-79.50611
Clay Restaurant,111 Queens Park,Canadian (New),4.0,20,,0,43.66798,-79.39347
Eataly Toronto,55 Bloor Street W,Italian,3.5,270,$$,2,43.6696154170451,-79.3887948598768
The MoMo House,1240 Bay Street,Himalayan/Nepalese,4.5,21,,0,43.6703275,-79.3901571
Famiglia Baldassarre,122 Geary Avenue,Italian,4.5,67,$$,2,43.67052,-79.4350599
King Taps,100 King Street W,Canadian (New),4.0,384,$$,2,43.6486379269,-79.3817439
Dirty Food Eatery,3070 Dundas Street W,Breakfast & Brunch,4.5,130,$$,2,43.66565,-79.47188
PLANTA,1221 Bay Street,Tapas/Small Plates,4.0,488,$$,2,43.6702150961667,-79.3894335574237
Jin Dal Lae,647 Bloor Street W,Korean,4.5,109,$$,2,43.664166,-79.41517
Cafe Landwer - Adelaide & University,165 University Avenue,Cafes,4.0,485,$$,2,43.64875,-79.38491
Mogouyuan Hand-Pulled Noodles,760 Yonge St,Noodles,4.0,77,$$,2,43.66943,-79.38671
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Barbeque,4.0,307,$$$,3,43.66716,-79.40047
Sinjeon Topokki,377 Church Street,Korean,4.5,2,,0,43.66115,-79.37869
Her Father's Cider Bar & Kitchen,119 Harbord Street,Gastropubs,4.5,183,$$,2,43.66232,-79.40453
The Haam,342 Adelaide St W,Japanese,4.0,303,$$,2,43.64743,-79.39308
LA LA Bakeshop,346 A Bloor Street W,Vietnamese,4.5,36,$$,2,43.6670868,-79.4011304
156 Cumberland,156 Cumberland Street,Korean,4.5,12,,0,43.67004,-79.3933
La Chingada,1242 Dundas Street West,Mexican,4.5,58,,0,43.6495234427446,-79.4242079757355
Yuugi Izakaya,49 Baldwin Street,Japanese,4.5,78,,0,43.65574,-79.39382
La Bella Managua,872 Bloor Street W,Latin American,4.5,246,$$,2,43.66232,-79.42495
Dine & Dim,633 Gerrard St E,Dim Sum,4.5,25,,0,43.6656274,-79.3506883
Okonomi House Restaurant,23 Charles Street W,Japanese,4.0,309,$,1,43.668311069021,-79.387133746804
Ikkousha Ramen,249 Queen Street W,Ramen,4.5,283,$$,2,43.65024,-79.38873
Tinuno,31 Howard Street,Filipino,4.0,619,$$,2,43.6711430082347,-79.374853497263
Chiang Mai,171 E Liberty St,Thai,4.5,54,,0,43.6381655863887,-79.4175398947282
Megumi Mazesoba,46 Saint Clair Avenue E,Japanese,5.0,14,,0,43.68876,-79.39196
Beast Bodega,96 Tecumseth Street,Canadian (New),4.0,413,$$,2,43.64408,-79.40578
Beerbistro,18 King Street E,Bistros,4.0,679,$$,2,43.649467134996364,-79.3771696548727
Kibo Secret Garden,154 Cumberland Street,Japanese,4.0,25,,0,43.6700657,-79.3932832
Bar Chica,75 Portland Street,Tapas Bars,4.5,15,,0,43.643879890618265,-79.39968413704536
Raku,456 Queen St W,Japanese,4.0,276,$$,2,43.64831,-79.39944
Mildred's Temple Kitchen,85 Hanna Avenue,Breakfast & Brunch,4.0,994,$$,2,43.6399108749312,-79.4204235076904
Daldongnae,658 Bloor Street,Korean,4.5,79,$$$,3,43.66434,-79.41566
The Senator,249 Victoria Street,Breakfast & Brunch,4.0,489,$$,2,43.65574,-79.37896
Maison T,1071 Shaw St,Bistros,5.0,13,,0,43.67052,-79.42632
Tokyo Hot Fried Chicken,656 College Street,Food Trucks,4.0,45,,0,43.655201668238774,-79.41637633067134
Middle8,119 Yorkville Avenue,Music Venues,4.5,4,,0,43.67064752093457,-79.3930014
C-Block Taiwanese Bento,690 Bloor Street W,Taiwanese,4.5,3,,0,43.664001,-79.41705
Miku,105-10 Bay Street,Japanese,4.0,878,$$$,3,43.6412346,-79.3773697
Cafe Oro Di Napoli,75 Jarvis Street,Pizza,4.5,83,$$,2,43.6514257145518,-79.3721591972351
Yuzuki,120 Bloor Street E,Japanese,4.5,39,,0,43.6713124,-79.3838651
The Hole In the Wall,2867 Dundas Street W,Pubs,4.5,169,$$,2,43.66518,-79.46515
Insomnia Restaurant & Lounge,563 Bloor Street W,Lounges,4.0,1009,$$,2,43.665961,-79.411003
El Nahual Tacos,556 parliament st,Mexican,4.5,147,$,1,43.666945,-79.36922000060865
El Venezolano,818 Danforth Ave,Venezuelan,4.0,27,,0,43.6798013667387,-79.3411719426513
Budapest Restaurant,2183 Danforth Ave,Hungarian,4.0,81,$$,2,43.686310484234454,-79.30998100204901
Ruby Soho,587 King St W,American (Traditional),4.0,37,$$,2,43.64423,-79.40015
Mineral,1027 Yonge Street,Noodles,4.5,18,,0,43.67763,-79.38947
The Roof at SOCO,75 Lower Simcoe Street,Canadian (New),4.0,17,,0,43.64303,-79.38379
Khao San Road,11 Charlotte Street,Thai,4.0,1686,$$,2,43.646412027881496,-79.39361985450327
Black Camel,4 Crescent Road,Sandwiches,4.5,377,$,1,43.677122232751,-79.389209714264
Kebaberie Yorkville,55 Avenue Road,Middle Eastern,4.0,9,$$,2,43.6712097187958,-79.3945072304896
Ramen Isshin,421 College Street,Ramen,4.5,795,$$,2,43.65634,-79.40689
Corner By Spoon And Fork,55 Avenue Road,Thai,4.0,9,$,1,43.6715255,-79.3945958
Smoque N' Bones,869 Queen Street W,Barbeque,4.0,410,$$,2,43.6457027819391,-79.4107432752393
Agio,1351 St Clair Avenue W,Italian,4.5,188,$$,2,43.67599,-79.45066
Pai Northern Thai Kitchen,2335 Yonge Street,Thai,4.0,100,,0,43.70864,-79.39828
Cafe Landwer - Yonge & Bloor,33 Bloor St E,Breakfast & Brunch,4.0,44,$$,2,43.67028,-79.38553
Alo Restaurant,163 Spadina Avenue,Bars,4.5,326,$$$$,4,43.64851,-79.39584
Cherry Street Bar-B-Que,275 Cherry Street,Barbeque,4.0,196,$$,2,43.6456,-79.35229
Antler Kitchen & Bar,1454 Dundas Street West,Canadian (New),4.5,285,$$$,3,43.64985,-79.43059
Madrina Bar y Tapas,2 Trinity Street,Tapas Bars,4.0,131,$$,2,43.64971833602106,-79.35967868465576
Little Vietnam,500 Queen Street W,Vietnamese,4.5,15,,0,43.64793,-79.40121
Oddseoul,90 Ossington Avenue,Korean,4.0,326,$$,2,43.64617546167321,-79.41973480556406
Plan B,2943A Bloor Street W,South African,5.0,30,,0,43.64798362411009,-79.50753974873805
KINKA IZAKAYA HARBOURFRONT,110 Harbour Street,Japanese,4.0,68,,0,43.64157,-79.37978
Bar Reyna,158 Cumberland Street,Mediterranean,3.5,142,$$,2,43.6700299,-79.39335
Yasu,81 Harbord Street,Japanese,4.5,416,$$$$,4,43.66269,-79.40314
Taverne Bernhardts,202 Dovercourt Rd,International,4.0,20,,0,43.6469658425167,-79.4240153208375
Moon Palace,40 Dundas Street W,Seafood,4.0,47,,0,43.6561951,-79.38240341165705
Gyubee Japanese Grill - Dundas,157 Dundas St W,Japanese,4.5,162,$$$,3,43.6551427,-79.3857634
Portici,6 Scollard Street,Italian,4.0,86,$$,2,43.67196,-79.39072
Kōjin,190 University Ave,Canadian (New),4.0,109,$$$,3,43.64933018157421,-79.38639829999917
Sugo,1281 Bloor Street W,Italian,4.5,243,$$,2,43.65825,-79.44227
Tiflisi,1970 Queen Street E,Modern European,4.5,26,,0,43.66993,-79.30159
Hong Kong Bistro Cafe,472 Dundas Street W,Chinese,4.0,118,$,1,43.65348,-79.39686
Pow Wow Cafe,213 Augusta Avenue,Canadian (New),4.5,142,$$,2,43.654184158624396,-79.4015556
Haidilao Hot Pot,237 Yonge Street,Chinese,4.5,15,,0,43.65463297669771,-79.37983900308609
Milou,1375 Dundas St W,Bistros,4.0,22,,0,43.649392,-79.4279101
Mi'hito Sushi Laboratory,55 Avenue Road,Sushi Bars,4.5,6,,0,43.6711378274163,-79.3944513425231
Gurume Sushi,45 Carlton Street,Sushi Bars,5.0,39,,0,43.6613914599157,-79.38099526635763
Giulietta,972 College Street,Italian,4.0,123,$$$,3,43.65353,-79.42764
Mabu Generation,575 Yonge Street,Taiwanese,4.0,49,$$,2,43.6650956222266,-79.3848299235106
Pocha 1989,542 Church Street,Korean,4.0,17,,0,43.66531,-79.38099
Taverna Mercatto,120 Bremner Boulevard,Italian,3.5,223,$$,2,43.6426722096442,-79.3827601467308
Queen of Persia,672A St Clair Avenue W,Persian/Iranian,4.5,47,$$$,3,43.68203,-79.42542
Momo Ghar,568 Parliament St,Himalayan/Nepalese,5.0,5,,0,43.66741,-79.36953
L’Avenue Boulangerie,1850 Avenue Road,Cafes,5.0,8,,0,43.73138342232403,-79.4195393845439
Fat Pasha,414 Dupont Street,Middle Eastern,4.0,208,$$$,3,43.67387,-79.41171
Blu Ristorante,90 Avenue Road,Italian,4.0,170,$$$,3,43.67237,-79.39586
SeoulChild,003 - 411 Richmond Street E,Korean,5.0,1,,0,43.6535528,-79.366828
Rikki Tikki,209 Augusta Avenue,Indian,5.0,12,,0,43.6540813,-79.4014858
Vos Restaurante Argentino,847 College st,Argentine,4.5,36,,0,43.65422274811667,-79.42314864437895
Nodo Restaurant,794 Saint Clair Avenue W,Italian,4.5,58,$$,2,43.6810110636599,-79.4297991693019
Scollard Variety & Deli,105 Scollard Street,Diners,4.5,32,$$,2,43.6716977,-79.3921869
The Opium Bar,1321 Dundas Street West,Whiskey Bars,4.5,20,,0,43.64928,-79.42628
Kovalsky Restaurant,667 The Queensway,Polish,4.5,59,$$,2,43.6270435,-79.4988143
Ugly Delicious,199 Baldwin Street,Burgers,4.5,4,,0,43.6544451,-79.4017501
FK,770 St Clair Avenue W,French,4.5,48,,0,43.68127,-79.42869
Lee Chen Asian Bistro - King,214 King Street W,Dim Sum,4.0,195,$$,2,43.6473690555399,-79.3867627903819
Seoul Food Take-Out,606 Sherbourne Street,Korean,4.5,34,$,1,43.6720547517741,-79.3768996372819
Soos,94 Ossington Avenue,Malaysian,4.0,171,$$$,3,43.6462593,-79.4197464
Lao Thai Restaurant,4 Gladstone Avenue,Thai,4.5,85,$$,2,43.6426406,-79.4273649
Evviva Breakfast & Lunch,25 Lower Simcoe,Breakfast & Brunch,4.0,350,$$,2,43.641602,-79.383301
Horangee Sikdang,431 Yonge Street,Korean,5.0,1,,0,43.660605,-79.38260199999999
GB Hand-pulled Noodles,66 Edward Street,Chinese,4.0,571,$$,2,43.65669,-79.38385
Honest Weight,2766 Dundas Street W,Seafood,4.5,135,$$,2,43.6653335939817,-79.4614855543404
STACK,3265 Yonge Street,Barbeque,4.0,321,$$,2,43.72929,-79.4029599
LOCAL Public Eatery - Liberty Village,171 E Liberty Street,Sports Bars,4.0,303,$$,2,43.6384689262493,-79.4192124903202
The Shozan Room,164 Ossington Ave,Japanese,4.5,22,,0,43.64791,-79.4205
Kasa Moto,115 Yorkville Avenue,Japanese,3.5,257,$$$,3,43.670608,-79.3927837
Mercado Negro,682 Caledonia Road,Tapas/Small Plates,4.5,24,,0,43.69693305385846,-79.4635275308586
FET ZUN,252 Dupont St,Middle Eastern,4.5,36,,0,43.67524,-79.40636
Hair of the Dog,425 Church Street,Pubs,4.0,363,$$,2,43.662946823805,-79.379592870241
Maison Selby,592 Sherbourne Street,French,4.0,101,,0,43.6712727802952,-79.37660004670653
Chubby's Jamaican Kitchen,104 Portland Street,Caribbean,4.0,308,$$,2,43.64532,-79.40066
Brasa Peruvian Kitchen,297 Campbell Avenue,Salad,5.0,8,,0,43.66552,-79.44935
Chadwick's,268 Howland Avenue,Canadian (New),4.0,218,$$,2,43.673524,-79.4118708
Descendant Detroit Style Pizza,1168 Queen Street E,Pizza,4.5,418,$$,2,43.662889,-79.332404
Le Baratin,1600 Dundas Street. W,French,4.5,129,$$,2,43.65007,-79.4351
Midnight Market,434 College St,Lounges,5.0,8,,0,43.65682,-79.40733
Egg Club Wellesley,531 Yonge Street,Breakfast & Brunch,4.5,29,$,1,43.6642,-79.38389
Esto Es Colombia,2848 Dufferin Street,Colombian,5.0,7,,0,43.7066287111662,-79.4533072320145
Jjin Toast,792 Bathurst Street,Korean,5.0,24,,0,43.665326757342655,-79.41142268478869
Scaramouche Restaurant Pasta Bar & Grill,1 Benvenuto Place,French,4.5,329,$$$$,4,43.68155,-79.39991
Le Swan,892 Queen St W,French,4.5,51,,0,43.6452699,-79.4149
Aburi Hana,102 Yorkville Avenue,Sushi Bars,4.5,18,,0,43.671011,-79.3925961
Lee Restaurant,601 King Street W,Asian Fusion,4.0,706,$$$,3,43.644144,-79.400384
Tokyo Kitchen,20 Charles Street E,Japanese,4.0,164,$$,2,43.6690940080509,-79.3851124367706
Pisac Peruvian Bistro,16 Dupont St,Peruvian,4.5,21,,0,43.67724,-79.39836
Completo,5 Coady Avenue,Latin American,4.5,169,$,1,43.6626328,-79.3340575
Nuna Kitchen & Bar,1265 Queen Street W,International,5.0,12,,0,43.64154,-79.43112
La Latina,150 Eglinton Ave E,Mexican,4.5,23,,0,43.70786301101772,-79.39415596425533
A La Turk,3443 Yonge Street,Turkish,4.5,58,,0,43.73357,-79.40419
Meta Dos Leitoes,218 Geary Avenue,Portuguese,4.5,7,$$,2,43.66984,-79.43848
Mama Lee's Korean Kitchen,16 Yonge Street,Korean,4.0,23,,0,43.64325,-79.37636
Buca Yorkville,53 Scollard Street,Italian,4.0,204,$$$,3,43.67214,-79.3894
Tachi,111 Richmond Street W,Sushi Bars,4.5,175,$$$$,4,43.6502911,-79.3839517
Pantheon Restaurant,407 Danforth Avenue,Greek,4.0,341,$$,2,43.67744,-79.35129
Wvrst,609 King Street W,German,4.0,826,$$,2,43.64418555054,-79.401014855291
Chef's Hall,111 Richmond Street W,Food Court,4.0,312,$$,2,43.6503522,-79.3837951
Karlovo,469 Cosburn Avenue,Delis,4.5,2,,0,43.69265,-79.33393
Cactus Club Cafe,77 Adelaide Street W,Cocktail Bars,4.0,581,$$,2,43.64950420768667,-79.38251803088575
Omai Restaurant,3 Baldwin Street,Japanese,4.0,122,$$,2,43.6561,-79.39234
Gushi Japanese Street Food,296 Gerrard Street East,Japanese,4.0,16,,0,43.66255,-79.36741
Mimi Chinese,265 Davenport Road,Chinese,4.0,42,,0,43.67411,-79.3982
Alder,51 Camden Street,Desserts,4.0,15,,0,43.6467,-79.39809
The Golden Pheasant,733 Lakeshore Road E,Modern European,4.5,63,$$,2,43.57077,-79.56565
Koyoi Restaurant & Bar,2 Irwin Avenue,Japanese,4.0,135,$$,2,43.6666786252858,-79.3854676187038
Aviv Immigrant Kitchen,779 St. Clair Avenue W,Mediterranean,4.5,18,,0,43.68078,-79.42912
Buca,604 King Street W,Italian,4.0,453,$$$,3,43.64462,-79.40045
Vagabondo Restobar,310 Front Street W,Italian,4.0,29,,0,43.64402,-79.39078
Good Luck Hongkong Cafe,5533 Yonge Street,Hong Kong Style Cafe,4.0,92,$$,2,43.77856,-79.41484
Souk Tabule,494 Front Street E,Middle Eastern,4.5,121,$$,2,43.653832,-79.354442
Bar Poet,1090 Queen Street W,Pizza,3.5,83,$$,2,43.643732,-79.4223358
Fuwa Fuwa Japanese Pancakes,408 Bloor Street W,Desserts,4.0,397,$$,2,43.6659512785201,-79.4078764691949
Bob's Bulgogi,105 Victoria Street,Korean,4.0,84,$,1,43.652139,-79.377507
Levetto,68 Sudbury Street,Italian,4.0,246,$$,2,43.64152,-79.4221
Gyukatsu Kyoto Katsugyu,134 Dundas Street E,Japanese,4.0,146,$$,2,43.65687,-79.37616
Memphis BBQ,8074 Islington Avenue,Barbeque,4.5,290,$$,2,43.789337,-79.587131
Wilbur Mexicana,552 King Street W,Mexican,4.0,607,$$,2,43.64494,-79.39866
El Charro,788 Broadview ave,Mexican,4.0,86,$,1,43.6771428,-79.3590065
Martino's Pizza & Asian Fusion Kitchen,178 Dupont Street,Pizza,4.0,44,$$,2,43.675568,-79.4036442
Kintaro Izakaya,459 Church Street,Japanese,4.0,232,$$,2,43.66417,-79.38006
The Backyard Smokehouse,264 Dupont Street,Barbeque,4.0,13,,0,43.675077870659926,-79.40676387729849
Korean Village Restaurant,628 Bloor Street W,Korean,4.0,405,$$,2,43.66461,-79.41444
Rasta Pasta,61 Kensington Avenue,Caribbean,4.0,364,$,1,43.6542328627147,-79.4004420356637
Hanmoto,2 Lakeview Avenue,Japanese,4.0,227,$$,2,43.64962095248675,-79.42305491320673
Hanamaru,862 Pape Avenue,Grocery,4.5,19,,0,43.6842559,-79.3471575
Adrak,138 Avenue Road,Indian,3.5,10,,0,43.674422579004904,-79.39662899999999
Churrasqueira Costa Verde BBQ Chicken,370 Oakwood Ave,Portuguese,3.5,33,$,1,43.68732,-79.43903
Pearl Harbourfront Chinese Cuisine,207 Queens Quay W,Dim Sum,3.5,287,$$,2,43.63877,-79.3806
Té,70 Ossington Avenue,Asian Fusion,4.0,121,$$,2,43.64575,-79.41964
The Innis Cafe,2 Sussex Avenue,Cafes,4.0,23,$,1,43.66556,-79.3995599
Tibet Kitchen,1544 Queen Street W,Himalayan/Nepalese,4.5,250,$$,2,43.640095,-79.439659
Minami Toronto,225 King Street W,Japanese,4.0,81,,0,43.64670917505803,-79.3884829276101
SugarKane,699 Danforth Avenue,Caribbean,4.5,32,,0,43.67892,-79.34361
Yummy Korean Food Restaurant,620 Bloor Street W,Korean,4.0,270,$,1,43.66469,-79.4140199
Neon Tiger,14 Dupont Street,Chicken Wings,4.0,4,,0,43.67726,-79.39828
The Olde Yorke,96 Laird Drive,Seafood,4.5,313,$$,2,43.70619,-79.36218
Wynona,819 Gerrard Street E,Italian,4.5,57,,0,43.66706,-79.34454
Reyna on King,354 King Street East,Tapas Bars,4.0,34,,0,43.65346,-79.36226
Gaucho Pie,346 Westmoreland Ave N,Argentine,4.5,8,,0,43.6710432483332,-79.4347860664129
Saigon PAI,446 Parliament Street,Thai,4.5,52,$$,2,43.663435,-79.367799
Saigon Lotus,6 St Andrew Street,Vietnamese,4.5,208,$$,2,43.65449,-79.39928
Papyrus,337 Danforth Avenue,Egyptian,4.5,42,$$,2,43.67709,-79.35324
Ten,1132 College Street,Canadian (New),4.5,11,,0,43.65257,-79.43349
Kaiseki Yu-zen Hashimoto,6 Garamond Court,Japanese,4.5,31,$$$$,4,43.72596,-79.33403
When The Pig Came Home,384 Keele Street,Delicatessen,4.5,72,$$,2,43.6657595,-79.4648277
Motorino Citta,466 Adelaide Street E,Italian,4.5,12,,0,43.6526748635606,-79.3663096055388
Parallel,217 Geary Avenue,Mediterranean,4.0,92,$$,2,43.6694450818033,-79.4385803863406
Frisaca,592 Queen Street W,Latin American,4.5,15,,0,43.64735,-79.40437
Jerusalem Restaurant,955 Eglinton Avenue W,Middle Eastern,4.0,94,$$,2,43.70001,-79.42889
Campechano Taquería,504 Adelaide Street W,Mexican,4.0,183,$$,2,43.64586,-79.40077
Luna Junction,2800 Dundas St W,Portuguese,4.5,35,,0,43.6656,-79.46276
FAMO Sandwiches,122 Sherbourne Street,Sandwiches,4.5,34,$$,2,43.65404,-79.36956
The Queen And Beaver Public House,35 Elm Street,Pubs,4.0,404,$$,2,43.65734,-79.38334
Magical Taste of China,476 Dundas Street,Chinese,4.0,67,$$,2,43.65329794176252,-79.39690564934813
Sakai Bar,1576 Dundas Street West,Japanese,4.5,22,,0,43.6499784722163,-79.4344709068537
Bar'kada,745 Queen Street W,Filipino,4.0,25,,0,43.64642,-79.4071
NaiNai Noodles,852 King Street W,Noodles,4.5,20,,0,43.64287659004824,-79.4085401467018
iL Padrino,579 College Street,Italian,5.0,5,,0,43.65507,-79.41309
Patria,480 King Street W,Spanish,4.0,532,$$$$,4,43.6455399,-79.39641
Banh Mi Boys,392 Queen Street W,Vietnamese,4.5,1235,$,1,43.64884,-79.39695
Lamesa Filipino Kitchen,634 St Clair Avenue W,Filipino,4.0,366,$$,2,43.682297,-79.423948
Paldo Gangsan,694 Bloor Street  W,Korean,4.5,85,$,1,43.664,-79.41743
The Four Seven,1211 Bloor Street  W,Tapas/Small Plates,4.5,32,$$,2,43.65876,-79.43993
Chotto Matte,161 Bay Street,Japanese,3.5,149,,0,43.6462867067857,-79.3788714800065
Gonzo Izakaya,940 College Street,Japanese,4.5,11,,0,43.65374,-79.42659
Jacobs & Co. Steakhouse,12 Brant Street,Steakhouses,4.5,603,$$$$,4,43.64539876116,-79.3980279011192
Don Alfonso 1890,1 Harbour Square,Italian,4.5,31,$$$$,4,43.6413515,-79.3758977
Mayrik,1580 Bayview Avenue,Mediterranean,4.0,70,$$$,3,43.70568,-79.3754
Masaki Saito,88 Avenue Road,Japanese,4.5,10,,0,43.67224,-79.39586
Pig Out BBQ,650 Spadina Avenue,Barbeque,4.0,100,$$,2,43.66317,-79.40253
Prime Seafood Palace,944 Queen Street W,Seafood,4.0,10,,0,43.6448779224016,-79.41673144698143
Rush Hour,1438A Dufferin Street,Portuguese,4.5,46,$$,2,43.67111,-79.44037
DaiLo,503 College Street,Chinese,4.0,314,$$$,3,43.65574,-79.4098
The Haifa Room,224 Ossington Avenue,Middle Eastern,3.5,16,,0,43.64921,-79.42093
Alma,1194 Bloor Street W,Desserts,4.0,24,,0,43.65954,-79.43802
White Lily Diner,678 Queen Street E,Breakfast & Brunch,4.5,139,$$,2,43.65881,-79.3511599
Ramen Buta-Nibo,547 Danforth Avenue,Ramen,4.5,9,,0,43.678213132707185,-79.34766188263893
Piano Piano,623 Mt Pleasant Road,Italian,4.0,38,,0,43.7045,-79.3883
Congee Queen,360 Yonge Street,Chinese,4.0,28,$$,2,43.658302,-79.381986
Zakkushi on Queen West,620 Queen Street W,Japanese,4.5,53,,0,43.64706,-79.40546
Mezes,456 Danforth Avenue,Greek,4.0,252,$$,2,43.6781397,-79.3502475
Levant,899 Bloor Street W,Middle Eastern,4.5,25,,0,43.66159,-79.42615
Playground Cafe,492 Parliament St,Cafes,4.5,10,,0,43.6648746,-79.3684892
Café Zuzu,555 Dundas Street E,Cafes,4.5,5,,0,43.65992,-79.36271
La Paella,1146 Queen Street E,Spanish,4.0,39,,0,43.6625299,-79.33427
The Loose Moose,146 Front Street West,Sports Bars,3.5,446,$$,2,43.64522746,-79.3838502
Hawk & Chick,1426 Dundas Street W,Korean,4.5,22,,0,43.64977,-79.42955
The MoMo House,1422 Queen Street W,Dumplings,4.5,33,,0,43.64119,-79.43505
The Heartbreak Chef,823 Dundas St W,Soul Food,4.5,45,,0,43.6515561,-79.408941
North Of Brooklyn,229 Geary Avenue,Pizza,4.0,42,,0,43.669227255581696,-79.43916335090452
Good Behaviour,1324A Gerrard Street E,Sandwiches,4.5,6,,0,43.671626409087494,-79.32564631365352
416 Snack Bar,181 Bathurst Street,Tapas/Small Plates,4.0,339,$$,2,43.64755,-79.40385
SARA,98 Portland Street,Canadian (New),4.0,77,,0,43.64519,-79.40062
Sash,1133 Yonge Street,Canadian (New),4.0,14,,0,43.68186,-79.39109
Bar Isabel,797 College Street,Spanish,4.0,454,$$$,3,43.654631,-79.4207738
Hendriks Restaurant & Bar,218 Yonge Street,American (Traditional),4.0,112,$$$,3,43.653501,-79.380048
Dreyfus,96 Harbord Street,French,4.0,31,,0,43.66302,-79.40327
Zeal Burgers,1926 Weston Road,Burgers,5.0,139,$$,2,43.7002764,-79.5170776
La Cubana,92 Ossington Avenue,Cuban,4.0,225,$$,2,43.6462083,-79.419674
Mother Tongue,348 Adelaide Street W,Cocktail Bars,4.0,62,,0,43.64739,-79.39327
Miss Likklemore's,433 King Street W,Caribbean,4.5,9,,0,43.64511981042632,-79.39534954726696
Hibachi Teppanyaki & Bar,550 Wellington Street W,Japanese,3.5,111,$$$,3,43.6431385252454,-79.4020506514614
Momo Hut & Gardens,401 Danforth Avenue,Himalayan/Nepalese,4.5,116,$$,2,43.6773492,-79.3513541
Sisters & Co,887 Dundas Street West,Breakfast & Brunch,4.5,109,$$,2,43.65097,-79.41172
Zaad,348 Bloor Street West,Middle Eastern,4.5,58,$$,2,43.66672,-79.40455
Le Phenix,1263 Queen Street W,Canadian (New),4.5,21,,0,43.641608075821246,-79.43111082278233
Rosedale Diner,1164 Yonge Street,Diners,3.5,113,$$,2,43.68036,-79.3912299
Pho Tien Thanh,57 Ossington Avenue,Vietnamese,4.0,440,$,1,43.6455399,-79.41896
